DATE,META,AAPL,GOOGL,MSFT,AMZN,NVDA
15/12/2025 16:00:00,"647,51","274,11","308,22","474,82","222,54","176,29"
16/12/2025 16:00:00,"657,15","274,61","306,57","476,39","222,56","177,72"
17/12/2025 16:00:00,"649,5","271,84","296,72","476,12","221,27","170,94"
18/12/2025 16:00:00,"664,45","272,19","302,46","483,98","226,76","174,14"
19/12/2025 16:00:00,"658,77","273,67","307,16","485,92","227,35","180,99"
22/12/2025 16:00:00,"661,5","270,97","309,78","484,92","228,43","183,69"
23/12/2025 16:00:00,"664,94","272,36","314,35","486,85","232,14","189,21"
24/12/2025 13:05:00,"667,55","273,81","314,09","488,02","232,38","188,61"
26/12/2025 16:00:00,"663,29","273,4","313,51","487,71","232,52","190,53"
29/12/2025 16:00:00,"658,69","273,76","313,56","487,1","232,07","188,22"
30/12/2025 16:00:00,"665,95","273,08","313,85","487,48","232,53","187,54"
31/12/2025 16:00:00,"660,09","271,86",313,"483,62","230,82","186,5"
2/01/2026 16:00:00,"650,41","271,01","315,15","472,94","226,5","188,85"
5/01/2026 16:00:00,"658,79","267,26","316,54","472,85","233,06","188,12"
6/01/2026 16:00:00,"660,62","262,36","314,34","478,51","240,93","187,24"
7/01/2026 16:00:00,"648,69","260,33","321,98","483,47","241,56","189,11"
8/01/2026 16:00:00,"646,06","259,04","325,44","478,11","246,29","185,04"
9/01/2026 16:00:00,"653,06","259,37","328,57","479,28","247,38","184,86"
12/01/2026 16:00:00,"641,97","260,25","331,86","477,18","246,47","184,94"
13/01/2026 16:00:00,"631,09","261,05","335,97","470,67","242,6","185,81"
14/01/2026 16:00:00,"615,52","259,96","335,84","459,38","236,65","183,14"
15/01/2026 16:00:00,"620,8","258,21","332,78","456,66","238,18","187,05"